Date,Open,High,Low,Close,Volume,OI
2009-06-10,1.54,1.64,1.54,1.63,2917120,0
2009-06-11,1.66,1.67,1.55,1.55,2975100,0
2009-06-12,1.54,1.64,1.54,1.57,3395100,0
2009-06-15,1.61,2.04,1.6,2.04,42470800,0
2009-06-16,2.14,2.2,1.85,1.9,33894700,0
2009-06-17,1.95,2.04,1.76,1.76,12791600,0
2009-06-18,1.79,1.88,1.68,1.75,8030600,0
2009-06-19,1.76,1.79,1.7,1.74,2809000,0
2009-06-22,1.75,1.92,1.72,1.73,13570000,0
2009-06-23,1.7,1.7,1.58,1.62,2592400,0
2009-06-24,1.63,1.71,1.63,1.66,3860600,0
2009-06-25,1.68,1.76,1.64,1.68,7219300,0
2009-06-26,1.7,1.7,1.64,1.64,858500,0
2009-06-29,1.66,1.68,1.59,1.6,4053100,0
2009-06-30,1.63,1.63,1.55,1.55,970900,0
2009-07-02,1.56,1.56,1.4,1.43,1865400,0
2009-07-03,1.43,1.49,1.43,1.46,1425800,0
2009-07-08,1.46,1.5,1.46,1.48,565800,0
2009-07-09,1.5,1.5,1.46,1.47,730100,0
2009-07-10,1.48,1.58,1.48,1.51,3606000,0
2009-07-13,1.52,1.57,1.49,1.53,622500,0
2009-07-14,1.54,1.56,1.5,1.5,339200,0
2009-07-15,1.52,1.54,1.51,1.51,114200,0
2009-07-16,1.54,1.55,1.48,1.48,637000,0
2009-07-17,1.5,1.51,1.41,1.44,3469700,0
2009-07-20,1.45,1.45,1.41,1.43,765800,0
2009-07-21,1.44,1.47,1.43,1.44,1182900,0
2009-07-22,1.46,1.47,1.43,1.43,551200,0
2009-07-23,1.45,1.45,1.43,1.43,96000,0
2009-07-24,1.45,1.45,1.4,1.45,817600,0
2009-07-27,1.45,1.46,1.44,1.44,536600,0
2009-07-28,1.44,1.49,1.44,1.47,509100,0
2009-07-29,1.49,1.51,1.46,1.46,922700,0
2009-07-30,1.48,1.48,1.46,1.47,50300,0
2009-07-31,1.46,1.5,1.46,1.46,482800,0
2009-08-03,1.47,1.48,1.46,1.46,282800,0
2009-08-04,1.46,1.46,1.45,1.45,341900,0
2009-08-05,1.47,1.56,1.47,1.48,2978400,0
2009-08-06,1.48,1.52,1.47,1.47,297200,0
2009-08-07,1.49,1.49,1.38,1.38,6052300,0
2009-08-10,1.39,1.39,1.26,1.26,4794100,0
